place_id,distance_epicerie,cote_epicerie,distance_pharmacie,cote_pharmacie,distance_sante,cote_sante,distance_banque,cote_banque,distance_poste,cote_poste,distance_ecole,cote_ecole,distance_bibliotheque,cote_bibliotheque,distance_communautaire,cote_communautaire,cote_totale,distance_transport,acces_transport
103,1924.1877618226472,3,,1,2575.014925143355,2,,1,,1,1212.1479142374542,3,,1,2785.715401954936,2,14,192.86884060866885,True
104,2293.2727376854473,2,,1,2944.099901006155,2,,1,,1,1149.017301445733,3,,1,2482.4837794206132,2,13,378.522083531764,True
105,1447.3694757189633,3,1741.6896468812965,3,2252.607550023247,2,,1,,1,2188.784473489028,2,2953.682294458454,2,229.65853446294398,4,18,1394.4593689789838,False
106,1692.343354649248,3,1988.776402294983,3,,1,,1,,1,1318.0138788619463,3,,1,1104.5773019929018,3,16,325.48712003874414,True
107,1921.8549332337143,3,,1,2572.6820965544225,2,,1,,1,815.0969068856668,4,,1,2780.8680531373584,2,15,1059.2631434203618,False
108,1921.8549332337143,3,,1,2572.6820965544225,2,,1,,1,815.0969068856668,4,,1,2780.8680531373584,2,15,1059.2631434203618,False
109,1816.8836221101649,3,,1,2467.710785430873,2,,1,,1,895.4807510714054,4,,1,2861.2518973230967,2,15,954.2918322968122,False
110,1816.8836221101649,3,,1,2467.710785430873,2,,1,,1,895.4807510714054,4,,1,2861.2518973230967,2,15,954.2918322968122,False
111,1816.8836221101649,3,,1,2467.710785430873,2,,1,,1,895.4807510714054,4,,1,2861.2518973230967,2,15,954.2918322968122,False
112,1816.8836221101649,3,,1,2467.710785430873,2,,1,,1,895.4807510714054,4,,1,2861.2518973230967,2,15,954.2918322968122,False
113,1760.918856597933,3,2968.3462024143682,2,2411.7460199186407,2,2987.970688117526,2,,1,951.4455165836373,4,,1,2917.216662835329,2,17,1010.2565978090441,False
114,534.2944387378565,4,401.25246883415883,4,277.9269704119739,4,357.48492184544864,4,337.0614976624128,4,678.8987126908336,4,504.0517359032071,4,412.82413137061894,4,32,59.544902567200694,True
115,745.76700675155,4,613.9061231539778,4,485.2255187261305,4,586.0192981712386,4,544.3600459765693,4,1312.2711757177753,3,298.79594973243314,4,256.11327728023133,4,31,496.1955083089415,True
116,665.8791295885837,4,746.0039038358437,4,873.0137861976833,4,682.8496650123773,4,1196.5361151633967,3,871.9348268732708,4,1154.3949166476502,3,859.773208370595,4,30,189.74685812161954,True
